ENT,REGION,EDAD_V,P5_21,P6_12,target,EDAD_V_unknown,P5_19_unknown,P5_21_unknown,P5_21_top,P6_12_no_response,P6_12_unknown,P6_12_top,target_no_response,target_unknown,target_log,P5_19A_unknown,salario_mensual,salario_mensual_unknown,ratio_gasto_ingreso,ahorro
1,2,30.0,0.0,10000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,8000.0,False,0.0,8000.0
1,2,21.0,0.0,2000.0,1500.0,False,False,False,False,False,False,False,False,False,7.313886831633462,False,3200.0,False,0.0,3200.0
1,2,43.0,10000.0,7500.0,0.0,False,False,False,False,True,False,False,False,False,0.0,False,12000.0,False,0.8332638946754437,2000.0
1,2,49.0,7500.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.9432775751477801,450.0
1,2,43.0,6000.0,50000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,4800.0,False,1.2497396375755052,-1200.0
1,2,41.0,8000.0,2000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,True,7950.0,True,1.0061627468242988,-50.0
1,2,31.0,12500.0,20000.0,600.0,False,False,False,False,False,False,False,False,False,6.398594934535208,False,12500.0,False,0.9999200063994881,0.0
1,2,46.0,9450.0,700000.0,4000.0,False,False,False,False,False,False,False,False,False,8.294299608857235,False,7000.0,False,1.349807170404228,-2450.0
1,2,59.0,4000.0,7500.0,0.0,False,False,False,False,False,True,False,False,False,0.0,False,6000.0,False,0.6665555740709882,2000.0
1,2,26.0,3200.0,10000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,6000.0,False,0.5332444592567905,2800.0
1,2,39.0,5500.0,5000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,4800.0,False,1.1455946677775464,-700.0
1,2,52.0,10000.0,20000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,10000.0,False,0.9999000099990001,0.0
1,2,31.0,2500.0,10000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,True,7950.0,True,0.3144258583825934,5450.0
1,2,21.0,0.0,800.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,True,7950.0,True,0.0,7950.0
1,2,26.0,6000.0,50000.0,5000.0,False,False,False,False,False,False,False,False,False,8.517393171418904,False,10000.0,False,0.5999400059994,4000.0
1,2,28.0,5500.0,10000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,True,7950.0,True,0.6917368884417054,2450.0
1,2,53.0,2000.0,2000.0,200.0,False,False,False,False,False,False,False,False,False,5.303304908059076,True,7950.0,True,0.2515406867060747,5950.0
1,2,36.0,4000.0,20000.0,1000.0,False,False,False,False,False,False,False,False,False,6.90875477931522,False,6400.0,False,0.6249023590064052,2400.0
1,2,33.0,3600.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.45277323607093445,4350.0
1,2,35.0,2000.0,2000.0,800.0,False,False,False,False,False,False,False,False,False,6.68586094706836,True,7950.0,True,0.2515406867060747,5950.0
1,2,45.0,2000.0,0.0,0.0,False,False,False,False,False,False,False,False,False,0.0,True,7950.0,True,0.2515406867060747,5950.0
1,2,47.0,20000.0,10000.0,500.0,False,False,False,False,False,False,False,False,False,6.2166061010848646,False,3200.0,False,6.248047485160887,-16800.0
1,2,46.0,2800.0,10000.0,400.0,False,False,False,False,False,False,False,False,False,5.993961427306569,False,2800.0,False,0.9996429846483399,0.0
